epoch,loss,accuracy,time_elapsed
1,1.399065,0.542467,17357
2,0.981363,0.687583,17326
3,0.927379,0.714117,17328
4,0.893634,0.729767,17335
5,0.909993,0.731767,17295
6,0.906703,0.738567,18305
7,0.894754,0.741083,18553
8,0.970703,0.734933,21628
9,0.935929,0.741817,22077
10,0.945856,0.748317,22118
11,0.933950,0.752117,20903
12,0.934725,0.755100,20276
13,0.970831,0.746433,20641
14,0.881654,0.769533,20598
15,0.905388,0.764817,20499
16,0.943142,0.759133,20524
17,0.944066,0.763750,20430
18,0.955943,0.762550,20371
19,0.900935,0.772050,20315
20,0.979494,0.755733,20385
21,0.930433,0.766217,20346
22,0.890397,0.777400,20278
23,0.944611,0.764783,20296
24,0.893506,0.776800,20325
25,0.935478,0.768750,20264
26,0.913309,0.778567,20342
27,0.957666,0.773150,20268
28,0.900206,0.788683,20280
29,0.922441,0.783133,20240
30,0.902046,0.788583,20305
31,0.904303,0.781533,20335
32,0.822107,0.800267,20313
33,0.933977,0.785317,20223
34,0.984454,0.772650,20293
35,0.918504,0.785033,20362
36,0.940714,0.790983,20229
37,0.940792,0.789567,20321
38,0.912595,0.795583,20315
39,0.816842,0.804517,20436
40,0.930007,0.794250,20263
41,1.005020,0.786300,20544
42,0.901418,0.798767,20480
43,0.924955,0.790567,20375
44,0.851746,0.806200,20276
45,0.951762,0.787933,20382
46,0.947541,0.790783,20437
47,0.810112,0.816667,20440
48,0.905317,0.798567,20473
49,0.892018,0.802150,20312
50,0.870493,0.806333,20301
51,0.872872,0.811033,20396
52,0.992228,0.792267,20285
53,1.049979,0.778733,20298
54,0.806419,0.827417,20217
55,0.915353,0.809433,20360
56,0.910005,0.807550,20337
57,0.888824,0.800450,20459
58,0.930849,0.797500,20509
59,0.785219,0.823567,20336
60,1.001622,0.797667,20362
61,0.975262,0.798817,20319
62,0.800503,0.827633,20272
63,0.994036,0.798917,20262
64,1.024699,0.798283,20333
65,1.009623,0.807150,20394
66,0.803405,0.838450,20346
67,0.932733,0.813900,20393
68,0.941116,0.813933,20331
69,0.961299,0.800783,20300
70,0.832024,0.824967,20270
71,1.032116,0.796217,20310
72,0.832821,0.830617,20282
73,0.816410,0.839533,20291
74,0.906193,0.820650,20356
75,1.027768,0.791917,20336
76,0.665877,0.859317,20309
77,1.002827,0.808650,20377
78,0.787860,0.839000,20329
79,1.007338,0.808117,20368
80,0.897589,0.823417,20296
81,1.064677,0.798700,20367
82,0.970392,0.817050,20340
83,0.789909,0.837400,20964
84,0.695691,0.859117,20361
85,1.053410,0.813117,20349
86,0.947542,0.812767,20372
87,0.946735,0.807883,20336
88,0.762111,0.842817,20301
89,1.000628,0.808367,20428
90,0.880014,0.818817,20386
91,0.904757,0.818033,20299
92,0.845959,0.833750,20349
93,0.974234,0.812100,20351
94,0.991885,0.808217,20321
95,0.709064,0.853167,20425
96,0.915847,0.826683,20368
97,0.998725,0.813683,20396
98,0.840506,0.833567,20350
99,0.703048,0.857667,20350
100,0.622978,0.875250,20514
